Insulation Thickness,ACH,shading temperature,shading irradiation,glazing layers,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0.35,2.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,6.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,0.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,4.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,0.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,6.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,2.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,4.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,6.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,2.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,4.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,0.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,4.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,0.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,6.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,2.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,2.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,4.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,0.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,6.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,6.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,0.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,2.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,4.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,6.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,4.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,2.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,0.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,2.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,6.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,0.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,4.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,4.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,6.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,2.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,0.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,0.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,2.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,4.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,6.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,2.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,4.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,6.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,0.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,6.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,2.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,4.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,0.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,4.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,6.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,0.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,2.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,4.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,2.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,0.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,6.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,4.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,2.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,6.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,0.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,0.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,6.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,4.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,2.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,6.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,4.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,0.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,2.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,4.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,6.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,2.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,0.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.3,6.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,4.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,0.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,2.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,6.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,4.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,2.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,0.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,0.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,4.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,2.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,6.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,0.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,4.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,2.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,6.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,4.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,6.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,0.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,2.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,6.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,0.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,4.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
