Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104537600.0,7.641666667,-1.933333333,95112.08333,0.275,93.41666667,0.0,0.0,9.218535124,-67.99324591,19.3375424,57316.11482,0.0,3997830.768,4055146.883
1104541200.0,7.925,-1.1,95145.0,0.283333333,84.08333333,0.0,0.0,34.15949875,-64.81907701,19.31299137,57316.11482,0.0,3986393.165,4043709.28
1104544800.0,7.625,-1.391666667,95145.0,0.2,167.75,0.0,0.0,58.22210545,-57.14497253,19.28134457,57316.11482,0.0,4134739.816,4192055.931
1104548400.0,7.383333333,-1.716666667,95145.0,0.316666667,213.3333333,0.0,0.0,74.47485705,-47.42862223,19.25197661,57316.11482,0.0,4257988.512,4315304.627
1104552000.0,7.241666667,-1.975,95145.0,0.4,192.5833333,0.0,0.0,86.72281651,-36.96442736,19.22599625,57316.11482,0.0,4345010.573,4402326.688
1104555600.0,7.083333333,-1.925,95145.0,0.575,166.5833333,0.0,0.0,97.14478856,-26.36019532,19.20146091,57316.11482,0.0,4433302.317,4490618.432
1104559200.0,6.883333333,-2.033333333,95145.0,0.525,149.75,0.0,0.0,106.9170615,-15.97975413,19.17712409,57316.11482,0.0,4531447.839,4588763.954
1104562800.0,6.741666667,-2.375,95145.0,0.925,170.75,0.0,0.0,116.7701678,-6.125765516,19.23751986,2989912.324,0.0,6507143.463,9497055.787
1104566400.0,6.875,-2.325,95145.0,0.95,126.0833333,17.25,36.5,127.2349135,2.879133941,19.25676042,2452370.736,0.0,6405375.191,8857745.927
1104570000.0,8.166666667,-2.025,95145.0,1.925,128.0,68.83333333,219.4166667,138.7175973,10.65029186,19.40419895,1407561.124,0.0,6096444.305,7504005.429
1104573600.0,10.05,-2.541666667,95145.0,2.041666667,70.83333333,98.41666667,335.5,151.460127,16.73126332,19.56706839,904162.8268,0.0,3453796.799,4357959.626
1104577200.0,11.73333333,-2.883333333,95145.0,1.383333333,55.16666667,117.25,400.5833333,165.4148344,20.63781088,19.71304306,904162.8268,0.0,2811884.029,3716046.856
1104580800.0,12.98333333,-2.683333333,95145.0,1.416666667,70.0,133.3333333,378.5833333,180.1322803,21.97529237,19.84347032,904162.8268,0.0,2447228.534,3351391.361
1104584400.0,13.75,-2.716666667,95140.33333,1.616666667,30.5,126.9166667,342.0,194.8422993,20.5898071,19.94530038,904162.8268,0.0,2279328.828,3183491.655
1104588000.0,13.88333333,-2.625,95132.91667,1.35,11.25,117.5,173.25,208.7781095,16.64058717,19.93456678,904162.8268,0.0,2226222.145,3130384.972
1104591600.0,13.33333333,-2.091666667,95125.91667,1.741666667,54.33333333,67.41666667,85.25,221.4975381,10.52523276,19.84083864,950852.1268,0.0,2289864.3,3240716.427
1104595200.0,12.18333333,-1.566666667,95118.91667,1.441666667,90.58333333,8.916666667,7.916666667,232.9593416,2.728299882,19.71654297,2235813.627,0.0,2494858.44,4730672.067
1104598800.0,11.19166667,-1.283333333,95111.91667,1.133333333,34.16666667,0.0,0.0,243.4092748,-6.294864073,19.6133493,2269764.263,0.0,2725611.133,4995375.396
1104602400.0,10.55,-1.375,95104.91667,0.95,31.16666667,0.0,0.0,253.255893,-16.16091272,19.54488718,2303714.898,0.0,2871623.59,5175338.488
1104606000.0,9.891666667,-1.441666667,95097.91667,0.7,35.58333333,0.0,0.0,263.0325182,-26.54801669,19.55031741,3736988.319,0.0,3166087.555,6903075.874
1104609600.0,9.25,-1.458333333,95090.33333,0.758333333,63.58333333,0.0,0.0,273.4748044,-37.15329821,19.51777045,3770938.955,0.0,3278760.451,7049699.406
1104613200.0,8.591666667,-1.85,95082.91667,0.45,46.25,0.0,0.0,285.7708463,-47.61065962,19.48197414,3770938.955,0.0,3426220.565,7197159.52
